comparator,prior_minus_comparator,difference95,relative_percent,relative95,paired_signflip_p,prior_wins,ties,prior_losses,holm_p
gp_no_history,-0.011319557362442646,"[-0.02058364765251853, -0.003053332875164856]",-15.46143919162493,"[-26.340344035041667, -4.636359962346788]",0.016849157542122895,22,0,8,0.048897555122243884
gp_prior_matched2,-0.006086045665907874,"[-0.010669400133302018, -0.0016828519091235357]",-8.952960295361166,"[-15.403904248203927, -2.557295850274663]",0.01629918504074796,20,0,10,0.048897555122243884
gp_ei_online,-0.015401151982410568,"[-0.026281573320725775, -0.005501010167901984]",-19.925640928629374,"[-31.824248931822616, -7.743391042123893]",0.004649767511624419,20,0,10,0.018599070046497676
smac,-0.018606139410733646,"[-0.030844088335829644, -0.007495762325544999]",-23.11375656879286,"[-35.31130670811408, -10.309863963454266]",0.0016999150042497876,21,0,9,0.010199490025498725
tpe,-0.01857267484812928,"[-0.0307737042196503, -0.007513298897940203]",-23.081780237011177,"[-35.105681578747806, -10.437062423474998]",0.0023998800059997,20,0,10,0.0119994000299985
random,-0.01281032851003238,"[-0.023886720754143113, -0.002799723515972534]",-17.14850414955648,"[-29.771925568404694, -4.087398351911862]",0.023248837558122095,19,0,11,0.048897555122243884
