method,complete_pool_datasets,complete_pool_area,median_scaled_datasets,median_scaled_area,prior_relative_percent,prior_relative95
gp_prior,30,0.06189198020628618,30,0.3529365257277791,0.0,"[0.0, 0.0]"
gp_no_history,30,0.07321153756872882,30,0.4050288071414342,-15.46143919162493,"[-26.032382648459663, -4.596481281897381]"
gp_prior_matched2,30,0.06797802587219405,30,0.38195973420071994,-8.952960295361166,"[-15.357195463041904, -2.5317001695793535]"
gp_ei_online,30,0.07729313218869677,30,0.43362313651767376,-19.925640928629374,"[-31.75671380108413, -7.944285155719406]"
smac,30,0.0804981196170198,30,0.43887844110185553,-23.11375656879286,"[-35.11735027074052, -10.684424117772929]"
tpe,30,0.08046465505441545,30,0.43788231247397463,-23.081780237011177,"[-35.07658056471276, -10.638790306070256]"
random,30,0.07470230871631856,30,0.41512301907748156,-17.14850414955648,"[-29.366219642957734, -4.2110608035191675]"
