method,label,area1_16,area95,optimizer_cpu_seconds_mean,objective_cpu_at32_mean,noncomplete_queries_mean,regret2,regret4,regret8,regret16,regret32
gp_prior,GP + historical prior,0.06189198020628618,"[0.04699697734253638, 0.07835751893949308]",0.011107579503333352,111.80018222166332,0.0,0.12367976446201635,0.0784874815449355,0.04544122201800555,0.028743571913229925,0.014569293653502857
gp_no_history,GP without history,0.07321153756872882,"[0.05628587651591282, 0.0909763359329904]",0.012359995626666691,106.14256339599329,0.0,0.14172784746911243,0.09258667156041815,0.0569200119908923,0.03201385968970797,0.016275007048399695
gp_prior_matched2,"GP + prior, matched starts",0.06797802587219405,"[0.05201673188804905, 0.08518073877321848]",0.011407656593333405,114.08427460948997,0.0,0.14069631336690427,0.08149601770992887,0.049649658584400985,0.031605949493344575,0.01613168179970861
gp_ei_online,"GP-EI, online kernel",0.07729313218869677,"[0.06047495935986747, 0.09480291103332619]",0.6518928709733334,98.22496051125663,0.0,0.14069631336690427,0.09825687594262743,0.06292402370765983,0.035361702033102765,0.014378825617062102
smac,SMAC (pool),0.0804981196170198,"[0.06242286943082271, 0.0994669695408575]",0.17775722761333332,102.06578170132998,0.0,0.14069631336690427,0.09825687594262743,0.06907346821520163,0.0357429058835349,0.01090183836233306
tpe,Optuna TPE (pool),0.08046465505441545,"[0.062171258143397856, 0.09974195913255512]",0.10526434439666668,93.99512890501994,0.0,0.14069631336690427,0.09825687594262743,0.06907346821520163,0.0370313007414884,0.016622514543944863
random,Random,0.07470230871631856,"[0.05787677169374312, 0.09209226393685063]",0.003492740773333356,94.73948239736995,0.0,0.14251404442153903,0.09094785822643926,0.058186658689946755,0.03722034821159211,0.021476813173704243
