comparator,prior_minus_comparator,difference95,relative_percent,relative95,paired_signflip_p,prior_wins,ties,prior_losses,holm_p
gp_no_history,0.004175772730712803,"[-0.01870909684552842, 0.040757638090897406]",5.196852666062777,"[-23.634235212828933, 47.72423556707003]",0.9911004449777511,22,0,8,1.0
gp_prior_matched2,-0.011395350216984504,"[-0.022955669896874798, -0.0032932924673800827]",-11.879675283947531,"[-16.631727104333404, -4.750836351922865]",0.005499725013749313,21,0,9,0.03299835008249588
gp_ei_online,-0.005347503414813764,"[-0.02447102308306272, 0.02201073128980432]",-5.949918936965782,"[-29.5186479920646, 20.683170313908235]",0.8024098795060247,20,0,10,1.0
smac,-0.009598006706775158,"[-0.02905527546867936, 0.016054104146570658]",-10.197005882165112,"[-32.83211673169117, 14.336355881711128]",0.49747512624368784,21,0,9,1.0
tpe,-0.009761996918972195,"[-0.028955828407940802, 0.015491193858199935]",-10.353192699665758,"[-32.64007826300992, 13.779932943061791]",0.4777761111944403,20,0,10,1.0
random,-0.0010799458727564577,"[-0.02149212157313044, 0.02857003322269868]",-1.2615059183859687,"[-26.644736864596666, 28.43188154242361]",0.9794510274486276,18,0,12,1.0
