method,complete_pool_datasets,complete_pool_area,median_scaled_datasets,median_scaled_area,prior_relative_percent,prior_relative95
gp_prior,28,0.06592650967349935,30,0.5425436159318191,0.0,"[0.0, 0.0]"
gp_no_history,28,0.07798999293371175,30,0.456598276551667,-15.467988656526577,"[-26.06574764386113, -4.500973793064444]"
gp_prior_matched2,28,0.07239857642959502,30,0.6343046890755057,-8.939494497366983,"[-15.498594742973065, -2.4993583779573005]"
gp_ei_online,28,0.08230678055646405,30,0.5480010826569094,-19.901484145315983,"[-31.691004063945293, -7.671408965080073]"
smac,28,0.085762581837955,30,0.5638146227657574,-23.129052017038322,"[-35.04251862657201, -10.32953964882965]"
tpe,28,0.08572233129568184,30,0.5645522970019887,-23.092957602728784,"[-34.85864755340802, -10.451991853988636]"
random,28,0.07932836661450172,30,0.4992392266171743,-16.8941546548274,"[-29.281022523193943, -3.6887802055681504]"
