method,label,area1_16,area95,optimizer_cpu_seconds_mean,objective_cpu_at32_mean,noncomplete_queries_mean,regret2,regret4,regret8,regret16,regret32
gp_prior,GP + historical prior,0.08452772802053707,"[0.0519887705860946, 0.13463508898528778]",0.010640051340000003,226.81871246619335,0.8,0.15728139763286547,0.11236676132399777,0.07398527812351693,0.03467232407584904,0.01667185019348045
gp_no_history,GP without history,0.08035195528982426,"[0.06175931945323209, 0.10048799654708644]",0.011828576873333508,208.4209748597566,0.6366666666666667,0.1690198557725221,0.09768874557767483,0.05941840574499836,0.033250100028634766,0.01699382185028718
gp_prior_matched2,"GP + prior, matched starts",0.09592307823752157,"[0.058356304489430195, 0.1554978428392669]",0.01055743264999992,228.8243806538633,0.82,0.17519060794013178,0.11603635742558173,0.08422423719075292,0.03709031021045185,0.018686266223682906
gp_ei_online,"GP-EI, online kernel",0.08987523143535087,"[0.06707099658234023, 0.11765660395177277]",0.62690488126,205.6995387566333,0.7033333333333334,0.17519060794013178,0.12211964576396768,0.06742216863271354,0.03767185560205298,0.015108060289468253
smac,SMAC (pool),0.09412573472731224,"[0.06969432460691381, 0.12475690903568065]",0.17174700305666665,207.40599237212996,0.6266666666666667,0.17519060794013178,0.12211964576396768,0.07930216683467509,0.037081831163954665,0.011275730841418112
tpe,Optuna TPE (pool),0.09428972493950925,"[0.06929127411304616, 0.12537830616853993]",0.09760790126666673,202.0839640334766,0.7433333333333333,0.17519060794013178,0.12211964576396768,0.07930216683467509,0.03898174383218209,0.016669359834912745
random,Random,0.08560767389329353,"[0.06402358893618217, 0.11177932600506811]",0.0033431575533334743,207.58667891954994,0.7833333333333333,0.16568922520081306,0.10780959079419215,0.06757412422310646,0.03898952709590354,0.02208671453635893
